tensor(-0.5014, grad_fn=<CopyBackwards>)
tensor(-0.3119, grad_fn=<CopyBackwards>)
tensor(-0.7784, grad_fn=<CopyBackwards>)
tensor(-0.1914, grad_fn=<CopyBackwards>)
tensor(-0.1060, grad_fn=<CopyBackwards>)
tensor(-0.1447, grad_fn=<CopyBackwards>)
tensor(-0.0826, grad_fn=<CopyBackwards>)
tensor(0.1362, grad_fn=<CopyBackwards>)
tensor(-0.4019, grad_fn=<CopyBackwards>)
tensor(-0.5498, grad_fn=<CopyBackwards>)
tensor(0.0693, grad_fn=<CopyBackwards>)
tensor(-0.0593, grad_fn=<CopyBackwards>)
tensor(-0.0196, grad_fn=<CopyBackwards>)
tensor(-0.2911, grad_fn=<CopyBackwards>)
tensor(0.3633, grad_fn=<CopyBackwards>)
tensor(-0.3192, grad_fn=<CopyBackwards>)
tensor(-0.4640, grad_fn=<CopyBackwards>)
tensor(-0.5047, grad_fn=<CopyBackwards>)
tensor(-0.3729, grad_fn=<CopyBackwards>)
tensor(0.0380, grad_fn=<CopyBackwards>)
tensor(-0.0360, grad_fn=<CopyBackwards>)
tensor(-0.4104, grad_fn=<CopyBackwards>)
tensor(-0.0355, grad_fn=<CopyBackwards>)
tensor(-0.4392, grad_fn=<CopyBackwards>)
tensor(-0.2136, grad_fn=<CopyBackwards>)
tensor(0.3579, grad_fn=<CopyBackwards>)
tensor(-0.4936, grad_fn=<CopyBackwards>)
tensor(-0.2407, grad_fn=<CopyBackwards>)
tensor(-0.5142, grad_fn=<CopyBackwards>)
tensor(-0.4783, grad_fn=<CopyBackwards>)
tensor(-0.3079, grad_fn=<CopyBackwards>)
tensor(0.0961, grad_fn=<CopyBackwards>)
tensor(-0.0202, grad_fn=<CopyBackwards>)
tensor(0.0480, grad_fn=<CopyBackwards>)
tensor(-0.2665, grad_fn=<CopyBackwards>)
tensor(-0.1963, grad_fn=<CopyBackwards>)
tensor(-0.2705, grad_fn=<CopyBackwards>)
tensor(-0.6471, grad_fn=<CopyBackwards>)
tensor(-0.3958, grad_fn=<CopyBackwards>)
tensor(-0.1103, grad_fn=<CopyBackwards>)
tensor(0.0785, grad_fn=<CopyBackwards>)
tensor(-0.3260, grad_fn=<CopyBackwards>)
tensor(0.2812, grad_fn=<CopyBackwards>)
tensor(-0.4361, grad_fn=<CopyBackwards>)
tensor(-0.0755, grad_fn=<CopyBackwards>)
tensor(-0.4062, grad_fn=<CopyBackwards>)
tensor(-0.3586, grad_fn=<CopyBackwards>)
tensor(-0.5304, grad_fn=<CopyBackwards>)
tensor(-0.4682, grad_fn=<CopyBackwards>)
tensor(0.1436, grad_fn=<CopyBackwards>)
tensor(-0.0382, grad_fn=<CopyBackwards>)
tensor(-0.3578, grad_fn=<CopyBackwards>)
tensor(-0.2999, grad_fn=<CopyBackwards>)
tensor(-0.1045, grad_fn=<CopyBackwards>)
tensor(-0.2844, grad_fn=<CopyBackwards>)
tensor(-0.4194, grad_fn=<CopyBackwards>)
tensor(-0.3044, grad_fn=<CopyBackwards>)
tensor(-0.3544, grad_fn=<CopyBackwards>)
tensor(0.0133, grad_fn=<CopyBackwards>)
tensor(-0.3473, grad_fn=<CopyBackwards>)
tensor(0.0331, grad_fn=<CopyBackwards>)
tensor(-0.3869, grad_fn=<CopyBackwards>)
tensor(-0.1910, grad_fn=<CopyBackwards>)
tensor(-0.2108, grad_fn=<CopyBackwards>)
tensor(-0.5357, grad_fn=<CopyBackwards>)
tensor(-0.4055, grad_fn=<CopyBackwards>)
tensor(-0.2094, grad_fn=<CopyBackwards>)
tensor(-0.4226, grad_fn=<CopyBackwards>)
tensor(0.0855, grad_fn=<CopyBackwards>)
tensor(-0.4155, grad_fn=<CopyBackwards>)
tensor(-0.1228, grad_fn=<CopyBackwards>)
tensor(-0.2228, grad_fn=<CopyBackwards>)
tensor(-0.1872, grad_fn=<CopyBackwards>)
tensor(-0.3241, grad_fn=<CopyBackwards>)
tensor(-0.3883, grad_fn=<CopyBackwards>)
tensor(0.0343, grad_fn=<CopyBackwards>)
tensor(-0.3114, grad_fn=<CopyBackwards>)
tensor(-0.3473, grad_fn=<CopyBackwards>)
tensor(-0.4333, grad_fn=<CopyBackwards>)
tensor(-0.5874, grad_fn=<CopyBackwards>)
tensor(-0.1104, grad_fn=<CopyBackwards>)
tensor(-0.1423, grad_fn=<CopyBackwards>)
tensor(-0.1750, grad_fn=<CopyBackwards>)
tensor(-0.6999, grad_fn=<CopyBackwards>)
tensor(-0.1301, grad_fn=<CopyBackwards>)
tensor(-0.1819, grad_fn=<CopyBackwards>)
tensor(-0.3849, grad_fn=<CopyBackwards>)
tensor(0.1687, grad_fn=<CopyBackwards>)
tensor(-0.3411, grad_fn=<CopyBackwards>)
tensor(-0.3946, grad_fn=<CopyBackwards>)
tensor(-0.4086, grad_fn=<CopyBackwards>)
tensor(-0.6376, grad_fn=<CopyBackwards>)
tensor(-0.1263, grad_fn=<CopyBackwards>)
tensor(-0.6478, grad_fn=<CopyBackwards>)
tensor(-0.3442, grad_fn=<CopyBackwards>)
tensor(-0.0834, grad_fn=<CopyBackwards>)
tensor(-0.3648, grad_fn=<CopyBackwards>)
tensor(-0.2975, grad_fn=<CopyBackwards>)
tensor(-0.4481, grad_fn=<CopyBackwards>)
tensor(-0.2278, grad_fn=<CopyBackwards>)
tensor(-0.6308, grad_fn=<CopyBackwards>)
tensor(-0.5223, grad_fn=<CopyBackwards>)
tensor(-0.5059, grad_fn=<CopyBackwards>)
tensor(0.6430, grad_fn=<CopyBackwards>)
tensor(-0.3445, grad_fn=<CopyBackwards>)
tensor(-0.0853, grad_fn=<CopyBackwards>)
tensor(-0.4802, grad_fn=<CopyBackwards>)
tensor(-0.0816, grad_fn=<CopyBackwards>)
tensor(-0.6366, grad_fn=<CopyBackwards>)
tensor(-0.4592, grad_fn=<CopyBackwards>)
tensor(-0.2054, grad_fn=<CopyBackwards>)
tensor(-0.3020, grad_fn=<CopyBackwards>)
tensor(-0.0045, grad_fn=<CopyBackwards>)
tensor(-0.5245, grad_fn=<CopyBackwards>)
tensor(-0.2623, grad_fn=<CopyBackwards>)
tensor(-0.5028, grad_fn=<CopyBackwards>)
tensor(-0.3339, grad_fn=<CopyBackwards>)
tensor(-0.2705, grad_fn=<CopyBackwards>)
tensor(-0.4312, grad_fn=<CopyBackwards>)
tensor(-0.7421, grad_fn=<CopyBackwards>)
tensor(-0.0879, grad_fn=<CopyBackwards>)
tensor(-0.0815, grad_fn=<CopyBackwards>)
tensor(-0.3152, grad_fn=<CopyBackwards>)
tensor(0.2604, grad_fn=<CopyBackwards>)
tensor(-0.1296, grad_fn=<CopyBackwards>)
tensor(-0.0569, grad_fn=<CopyBackwards>)
tensor(-0.4051, grad_fn=<CopyBackwards>)
tensor(-0.5818, grad_fn=<CopyBackwards>)
tensor(0.0432, grad_fn=<CopyBackwards>)
tensor(-0.5932, grad_fn=<CopyBackwards>)
tensor(-0.4704, grad_fn=<CopyBackwards>)
tensor(0.3733, grad_fn=<CopyBackwards>)
tensor(-0.1385, grad_fn=<CopyBackwards>)
tensor(-0.5062, grad_fn=<CopyBackwards>)
tensor(0.0015, grad_fn=<CopyBackwards>)
tensor(-0.3539, grad_fn=<CopyBackwards>)
tensor(-0.3309, grad_fn=<CopyBackwards>)
tensor(-0.4883, grad_fn=<CopyBackwards>)
tensor(-0.4085, grad_fn=<CopyBackwards>)
tensor(-0.6618, grad_fn=<CopyBackwards>)
tensor(-0.4430, grad_fn=<CopyBackwards>)
tensor(-0.5769, grad_fn=<CopyBackwards>)
tensor(-0.4416, grad_fn=<CopyBackwards>)
tensor(-0.5128, grad_fn=<CopyBackwards>)
tensor(-0.1438, grad_fn=<CopyBackwards>)
tensor(-0.6362, grad_fn=<CopyBackwards>)
tensor(-0.4703, grad_fn=<CopyBackwards>)
tensor(-0.2740, grad_fn=<CopyBackwards>)
tensor(-0.1499, grad_fn=<CopyBackwards>)
tensor(-0.6596, grad_fn=<CopyBackwards>)
tensor(-0.1958, grad_fn=<CopyBackwards>)
tensor(-0.3022, grad_fn=<CopyBackwards>)
tensor(-0.5746, grad_fn=<CopyBackwards>)
tensor(-0.5031, grad_fn=<CopyBackwards>)
tensor(-0.5338, grad_fn=<CopyBackwards>)
tensor(-0.3985, grad_fn=<CopyBackwards>)
tensor(0.0414, grad_fn=<CopyBackwards>)
tensor(-0.3758, grad_fn=<CopyBackwards>)
tensor(0.0362, grad_fn=<CopyBackwards>)
tensor(0.5469, grad_fn=<CopyBackwards>)
tensor(-0.4007, grad_fn=<CopyBackwards>)
tensor(-0.5033, grad_fn=<CopyBackwards>)
tensor(-0.2994, grad_fn=<CopyBackwards>)
tensor(-0.3157, grad_fn=<CopyBackwards>)
tensor(-0.4803, grad_fn=<CopyBackwards>)
tensor(0.0438, grad_fn=<CopyBackwards>)
tensor(-0.3729, grad_fn=<CopyBackwards>)
tensor(-0.3926, grad_fn=<CopyBackwards>)
tensor(-0.6959, grad_fn=<CopyBackwards>)
tensor(-0.3352, grad_fn=<CopyBackwards>)
tensor(-0.6032, grad_fn=<CopyBackwards>)
tensor(-0.5078, grad_fn=<CopyBackwards>)
tensor(-0.5340, grad_fn=<CopyBackwards>)
tensor(-0.5252, grad_fn=<CopyBackwards>)
tensor(-0.3855, grad_fn=<CopyBackwards>)
tensor(-0.5331, grad_fn=<CopyBackwards>)
tensor(-0.2938, grad_fn=<CopyBackwards>)
tensor(-0.4644, grad_fn=<CopyBackwards>)
tensor(-0.5548, grad_fn=<CopyBackwards>)
tensor(-0.4366, grad_fn=<CopyBackwards>)
tensor(-0.2481, grad_fn=<CopyBackwards>)
tensor(-0.3326, grad_fn=<CopyBackwards>)
tensor(-0.2270, grad_fn=<CopyBackwards>)
tensor(-0.0497, grad_fn=<CopyBackwards>)
tensor(-0.1143, grad_fn=<CopyBackwards>)
tensor(0.0445, grad_fn=<CopyBackwards>)
tensor(-0.1809, grad_fn=<CopyBackwards>)
tensor(-0.5654, grad_fn=<CopyBackwards>)
tensor(-0.3730, grad_fn=<CopyBackwards>)
tensor(-0.6233, grad_fn=<CopyBackwards>)
tensor(0.5519, grad_fn=<CopyBackwards>)
tensor(-0.4938, grad_fn=<CopyBackwards>)
tensor(-0.6452, grad_fn=<CopyBackwards>)
tensor(-0.6297, grad_fn=<CopyBackwards>)
tensor(-0.3993, grad_fn=<CopyBackwards>)
tensor(-0.0378, grad_fn=<CopyBackwards>)
tensor(-0.2127, grad_fn=<CopyBackwards>)
tensor(-0.6104, grad_fn=<CopyBackwards>)
tensor(-0.4827, grad_fn=<CopyBackwards>)
tensor(-0.2909, grad_fn=<CopyBackwards>)
tensor(-0.2002, grad_fn=<CopyBackwards>)
tensor(-0.8135, grad_fn=<CopyBackwards>)
tensor(-0.6593, grad_fn=<CopyBackwards>)
tensor(-0.4892, grad_fn=<CopyBackwards>)
tensor(0.0936, grad_fn=<CopyBackwards>)
tensor(-0.2576, grad_fn=<CopyBackwards>)
tensor(0.0783, grad_fn=<CopyBackwards>)
tensor(-0.2132, grad_fn=<CopyBackwards>)
tensor(-0.2165, grad_fn=<CopyBackwards>)
tensor(-0.5084, grad_fn=<CopyBackwards>)
tensor(-0.3900, grad_fn=<CopyBackwards>)
tensor(-0.4482, grad_fn=<CopyBackwards>)
tensor(-0.4308, grad_fn=<CopyBackwards>)
tensor(-0.0787, grad_fn=<CopyBackwards>)
tensor(-0.2909, grad_fn=<CopyBackwards>)
tensor(-0.5018, grad_fn=<CopyBackwards>)
tensor(-0.4654, grad_fn=<CopyBackwards>)
tensor(-0.0635, grad_fn=<CopyBackwards>)
tensor(-0.1224, grad_fn=<CopyBackwards>)
tensor(-0.2701, grad_fn=<CopyBackwards>)
tensor(-0.7069, grad_fn=<CopyBackwards>)
tensor(-0.4124, grad_fn=<CopyBackwards>)
tensor(-0.5903, grad_fn=<CopyBackwards>)
tensor(-0.3228, grad_fn=<CopyBackwards>)
tensor(-0.3950, grad_fn=<CopyBackwards>)
tensor(-0.3659, grad_fn=<CopyBackwards>)
tensor(-0.2071, grad_fn=<CopyBackwards>)
tensor(0.1476, grad_fn=<CopyBackwards>)
tensor(-0.5275, grad_fn=<CopyBackwards>)
tensor(0.1165, grad_fn=<CopyBackwards>)
tensor(-0.6005, grad_fn=<CopyBackwards>)
tensor(-0.1926, grad_fn=<CopyBackwards>)
tensor(-0.3251, grad_fn=<CopyBackwards>)
tensor(-0.3463, grad_fn=<CopyBackwards>)
tensor(-0.2811, grad_fn=<CopyBackwards>)
tensor(-0.3553, grad_fn=<CopyBackwards>)
tensor(-0.2867, grad_fn=<CopyBackwards>)
tensor(-0.6075, grad_fn=<CopyBackwards>)
tensor(-0.7257, grad_fn=<CopyBackwards>)
tensor(-0.6941, grad_fn=<CopyBackwards>)
tensor(-0.8278, grad_fn=<CopyBackwards>)
tensor(-0.0288, grad_fn=<CopyBackwards>)
tensor(-0.6302, grad_fn=<CopyBackwards>)
tensor(-0.6320, grad_fn=<CopyBackwards>)
tensor(-0.4328, grad_fn=<CopyBackwards>)
tensor(-0.5818, grad_fn=<CopyBackwards>)
tensor(-0.3240, grad_fn=<CopyBackwards>)
tensor(-0.4938, grad_fn=<CopyBackwards>)
tensor(-0.5324, grad_fn=<CopyBackwards>)
tensor(-0.4453, grad_fn=<CopyBackwards>)
tensor(-0.1476, grad_fn=<CopyBackwards>)
tensor(-0.2309, grad_fn=<CopyBackwards>)
tensor(-0.4854, grad_fn=<CopyBackwards>)
tensor(-0.0734, grad_fn=<CopyBackwards>)
tensor(-0.2457, grad_fn=<CopyBackwards>)
tensor(-0.5363, grad_fn=<CopyBackwards>)
tensor(0.1887, grad_fn=<CopyBackwards>)
tensor(-0.5640, grad_fn=<CopyBackwards>)
tensor(-0.3860, grad_fn=<CopyBackwards>)
tensor(-0.5846, grad_fn=<CopyBackwards>)
tensor(-0.6062, grad_fn=<CopyBackwards>)
tensor(-0.3685, grad_fn=<CopyBackwards>)
tensor(-0.3450, grad_fn=<CopyBackwards>)
tensor(-0.0281, grad_fn=<CopyBackwards>)
tensor(-0.2377, grad_fn=<CopyBackwards>)
tensor(-0.0599, grad_fn=<CopyBackwards>)
tensor(-0.0096, grad_fn=<CopyBackwards>)
tensor(-0.2826, grad_fn=<CopyBackwards>)
tensor(0.2129, grad_fn=<CopyBackwards>)
tensor(-0.5226, grad_fn=<CopyBackwards>)
tensor(-0.4393, grad_fn=<CopyBackwards>)
tensor(-0.0945, grad_fn=<CopyBackwards>)
tensor(0.1432, grad_fn=<CopyBackwards>)
tensor(-0.1873, grad_fn=<CopyBackwards>)
tensor(-0.0343, grad_fn=<CopyBackwards>)
tensor(0.3030, grad_fn=<CopyBackwards>)
tensor(-0.4514, grad_fn=<CopyBackwards>)
tensor(-0.4571, grad_fn=<CopyBackwards>)
tensor(-0.5739, grad_fn=<CopyBackwards>)
tensor(0.2560, grad_fn=<CopyBackwards>)
tensor(-0.3282, grad_fn=<CopyBackwards>)
tensor(-0.0599, grad_fn=<CopyBackwards>)
