tensor(-0.0400, grad_fn=<CopyBackwards>)
tensor(-0.0296, grad_fn=<CopyBackwards>)
tensor(-0.0115, grad_fn=<CopyBackwards>)
tensor(-0.1800, grad_fn=<CopyBackwards>)
tensor(-0.1543, grad_fn=<CopyBackwards>)
tensor(-0.0614, grad_fn=<CopyBackwards>)
tensor(-0.0959, grad_fn=<CopyBackwards>)
tensor(-0.1047, grad_fn=<CopyBackwards>)
tensor(-0.1173, grad_fn=<CopyBackwards>)
tensor(-0.1948, grad_fn=<CopyBackwards>)
tensor(-0.3114, grad_fn=<CopyBackwards>)
tensor(-0.0499, grad_fn=<CopyBackwards>)
tensor(-0.0166, grad_fn=<CopyBackwards>)
tensor(-0.0118, grad_fn=<CopyBackwards>)
tensor(-0.0018, grad_fn=<CopyBackwards>)
tensor(-0.0017, grad_fn=<CopyBackwards>)
tensor(-0.0223, grad_fn=<CopyBackwards>)
tensor(-0.0972, grad_fn=<CopyBackwards>)
tensor(-0.0017, grad_fn=<CopyBackwards>)
tensor(-0.0044, grad_fn=<CopyBackwards>)
tensor(-0.0198, grad_fn=<CopyBackwards>)
tensor(-0.0007, grad_fn=<CopyBackwards>)
tensor(-0.0088, grad_fn=<CopyBackwards>)
tensor(-0.2366, grad_fn=<CopyBackwards>)
tensor(-0.0267, grad_fn=<CopyBackwards>)
tensor(-0.0075, grad_fn=<CopyBackwards>)
tensor(-0.0028, grad_fn=<CopyBackwards>)
tensor(-0.1426, grad_fn=<CopyBackwards>)
tensor(-0.0039, grad_fn=<CopyBackwards>)
tensor(-0.0304, grad_fn=<CopyBackwards>)
tensor(-0.0016, grad_fn=<CopyBackwards>)
tensor(-0.0003, grad_fn=<CopyBackwards>)
tensor(-0.0041, grad_fn=<CopyBackwards>)
tensor(-0.0132, grad_fn=<CopyBackwards>)
tensor(-0.0301, grad_fn=<CopyBackwards>)
tensor(-0.2007, grad_fn=<CopyBackwards>)
tensor(-0.0003, grad_fn=<CopyBackwards>)
tensor(-0.0079, grad_fn=<CopyBackwards>)
tensor(-0.0020, grad_fn=<CopyBackwards>)
tensor(-0.0083, grad_fn=<CopyBackwards>)
tensor(-0.0056, grad_fn=<CopyBackwards>)
tensor(-0.1378, grad_fn=<CopyBackwards>)
tensor(-0.3259, grad_fn=<CopyBackwards>)
tensor(-0.0029, grad_fn=<CopyBackwards>)
tensor(-0.0454, grad_fn=<CopyBackwards>)
tensor(-0.0060, grad_fn=<CopyBackwards>)
tensor(-0.0163, grad_fn=<CopyBackwards>)
tensor(-0.2852, grad_fn=<CopyBackwards>)
