tensor(-0.7221, grad_fn=<CopyBackwards>)
tensor(-0.7067, grad_fn=<CopyBackwards>)
tensor(-0.9305, grad_fn=<CopyBackwards>)
tensor(-0.6952, grad_fn=<CopyBackwards>)
tensor(-0.7493, grad_fn=<CopyBackwards>)
tensor(-0.6231, grad_fn=<CopyBackwards>)
tensor(-0.3178, grad_fn=<CopyBackwards>)
tensor(-0.7866, grad_fn=<CopyBackwards>)
tensor(-0.7287, grad_fn=<CopyBackwards>)
tensor(-0.6347, grad_fn=<CopyBackwards>)
tensor(-0.5004, grad_fn=<CopyBackwards>)
tensor(-0.8583, grad_fn=<CopyBackwards>)
tensor(-0.8784, grad_fn=<CopyBackwards>)
tensor(-0.7496, grad_fn=<CopyBackwards>)
tensor(-0.7867, grad_fn=<CopyBackwards>)
tensor(-0.4734, grad_fn=<CopyBackwards>)
tensor(-0.7817, grad_fn=<CopyBackwards>)
tensor(-0.6463, grad_fn=<CopyBackwards>)
tensor(-0.5769, grad_fn=<CopyBackwards>)
tensor(-0.7438, grad_fn=<CopyBackwards>)
tensor(-0.7641, grad_fn=<CopyBackwards>)
tensor(-0.8292, grad_fn=<CopyBackwards>)
tensor(-0.9156, grad_fn=<CopyBackwards>)
tensor(-0.8037, grad_fn=<CopyBackwards>)
tensor(-0.7375, grad_fn=<CopyBackwards>)
tensor(-0.8283, grad_fn=<CopyBackwards>)
tensor(-0.6882, grad_fn=<CopyBackwards>)
tensor(-0.7464, grad_fn=<CopyBackwards>)
tensor(-0.8554, grad_fn=<CopyBackwards>)
tensor(-0.8339, grad_fn=<CopyBackwards>)
tensor(-0.7777, grad_fn=<CopyBackwards>)
tensor(-0.2548, grad_fn=<CopyBackwards>)
tensor(-0.8700, grad_fn=<CopyBackwards>)
tensor(-0.4935, grad_fn=<CopyBackwards>)
tensor(-0.6911, grad_fn=<CopyBackwards>)
tensor(-0.8816, grad_fn=<CopyBackwards>)
tensor(-0.6479, grad_fn=<CopyBackwards>)
tensor(-0.6560, grad_fn=<CopyBackwards>)
tensor(-0.7108, grad_fn=<CopyBackwards>)
tensor(-0.6424, grad_fn=<CopyBackwards>)
tensor(-0.7988, grad_fn=<CopyBackwards>)
tensor(-0.5752, grad_fn=<CopyBackwards>)
tensor(-0.7489, grad_fn=<CopyBackwards>)
tensor(-0.5925, grad_fn=<CopyBackwards>)
tensor(-0.8831, grad_fn=<CopyBackwards>)
tensor(-0.4902, grad_fn=<CopyBackwards>)
